"inventoryid","inventorydate","year","month","partid","partname","partcode","partcategory","partdescription","supplierid","suppliername","suppliercity","suppliercountry","supplierrating","warehouseid","warehousename","warehouselocation","warehousecity","quantityonhand","quantityreserved","quantitydamaged","availablequantity","reorderlevel","reorderquantity","leadtimedays","unitcost","totalcost","supplierleadtime","receivedate","invoicenumber","invoiceamount","status","expirydate","storagelocation","laststockupdate","notes"
"INV00000463","2024-01-02",2024,4,"PART000214","Part 214","PC493258","Tool","Essential component Part 214","SUP0044","Supplier 44","Jaipur","India","2.95","WH04","Warehouse 4","West","Jaipur",36255,11397,402,24456,3190,18634,29,"454.96","11126501.76",14,"2024-03-25","INV540717","95011.65","Discontinued","null","Rack-6","2024-03-01","Stock level: 36255 units, Supplier rating: 2.95"
"INV00000464","2024-04-16",2024,10,"PART000215","Part 215","PC631162","Packaging","Essential component Part 215","SUP0045","Supplier 45","Mumbai","India","3.64","WH05","Warehouse 5","Central","Mumbai",19943,15304,122,4517,2013,847,50,"705.79","3188053.43",38,"2024-02-28","INV943295","96012.41","On Order","2025-06-09","Rack-25","2024-12-27","Stock level: 19943 units, Supplier rating: 3.64"
"INV00000465","2024-01-25",2024,1,"PART000216","Part 216","PC222665","Raw Material","Essential component Part 216","SUP0046","Supplier 46","Delhi","India","4.19","WH06","Warehouse 6","North","Delhi",31399,10329,108,20962,4114,19530,52,"248.77","5214716.74",80,"2024-09-27","INV870661","52181.36","Available","null","Rack-63","2024-10-01","Stock level: 31399 units, Supplier rating: 4.19"
"INV00000466","2024-12-14",2024,2,"PART000217","Part 217","PC273677","Component","Essential component Part 217","SUP0047","Supplier 47","Bangalore","India","2.76","WH07","Warehouse 7","South","Bangalore",27653,18239,487,8927,224,3964,20,"803.87","7176147.49",40,"2024-02-17","INV620031","40703.96","Low Stock","null","Rack-11","2024-11-22","Stock level: 27653 units, Supplier rating: 2.76"
"INV00000467","2024-01-06",2024,11,"PART000218","Part 218","PC614121","Subassembly","Essential component Part 218","SUP0048","Supplier 48","Pune","India","4.64","WH08","Warehouse 8","East","Pune",28603,5467,277,22859,3838,3788,46,"347.37","7940530.83",82,"2024-09-07","INV851529","34146.51","Out of Stock","null","Rack-90","2024-10-03","Stock level: 28603 units, Supplier rating: 4.64"
"INV00000468","2024-01-05",2024,8,"PART000219","Part 219","PC262164","Tool","Essential component Part 219","SUP0049","Supplier 49","Hyderabad","India","3.84","WH09","Warehouse 9","West","Hyderabad",14557,12404,474,1679,889,3655,21,"186.87","313754.73",47,"2024-08-19","INV485095","67434.66","Discontinued","null","Rack-1","2024-10-09","Stock level: 14557 units, Supplier rating: 3.84"
"INV00000469","2024-06-04",2024,7,"PART000220","Part 220","PC711614","Packaging","Essential component Part 220","SUP0050","Supplier 50","Chennai","India","4.56","WH10","Warehouse 10","Central","Chennai",41417,14655,385,26377,2716,10113,48,"379.55","10011390.35",87,"2024-11-17","INV141898","11317.49","On Order","null","Rack-29","2024-08-05","Stock level: 41417 units, Supplier rating: 4.56"
"INV00000470","2024-12-21",2024,9,"PART000221","Part 221","PC499842","Raw Material","Essential component Part 221","SUP0051","Supplier 51","Kolkata","India","2.46","WH01","Warehouse 1","North","Kolkata",26206,23589,228,2389,3001,13590,21,"961.57","2297190.73",53,"2024-03-25","INV812247","91659.57","Available","null","Rack-88","2024-05-02","Stock level: 26206 units, Supplier rating: 2.46"
"INV00000471","2024-08-23",2024,8,"PART000222","Part 222","PC722004","Component","Essential component Part 222","SUP0052","Supplier 52","Jaipur","India","3.83","WH02","Warehouse 2","South","Jaipur",6015,2155,268,3592,103,18497,30,"23.79","85453.68",61,"2024-09-25","INV698581","33587.64","Low Stock","null","Rack-59","2024-12-25","Stock level: 6015 units, Supplier rating: 3.83"
"INV00000472","2024-09-01",2024,10,"PART000223","Part 223","PC317986","Subassembly","Essential component Part 223","SUP0053","Supplier 53","Mumbai","India","2.09","WH03","Warehouse 3","East","Mumbai",20958,16541,435,3982,1167,7224,54,"755.55","3008600.1",59,"2024-12-06","INV568311","23090.93","Out of Stock","null","Rack-87","2024-04-12","Stock level: 20958 units, Supplier rating: 2.09"
"INV00000473","2024-12-11",2024,9,"PART000224","Part 224","PC639658","Tool","Essential component Part 224","SUP0054","Supplier 54","Delhi","India","3.21","WH04","Warehouse 4","West","Delhi",46921,41640,173,5108,956,9578,8,"398.65","2036304.2",71,"2024-10-09","INV255100","86863.17","Discontinued","null","Rack-81","2024-06-02","Stock level: 46921 units, Supplier rating: 3.21"
"INV00000474","2024-11-17",2024,12,"PART000225","Part 225","PC277581","Packaging","Essential component Part 225","SUP0055","Supplier 55","Bangalore","India","2.91","WH05","Warehouse 5","Central","Bangalore",11799,7378,176,4245,4334,12849,58,"953.85","4049093.25",89,"2024-05-12","INV597046","99743.77","On Order","2025-03-15","Rack-10","2024-02-07","Stock level: 11799 units, Supplier rating: 2.91"
"INV00000475","2024-12-03",2024,6,"PART000226","Part 226","PC611075","Raw Material","Essential component Part 226","SUP0056","Supplier 56","Pune","India","2.1","WH06","Warehouse 6","North","Pune",19753,14571,474,4708,4184,12653,47,"681.44","3208219.52",50,"2024-08-20","INV709246","72786.92","Available","null","Rack-22","2024-02-21","Stock level: 19753 units, Supplier rating: 2.1"
"INV00000476","2024-03-05",2024,5,"PART000227","Part 227","PC621940","Component","Essential component Part 227","SUP0057","Supplier 57","Hyderabad","India","4.85","WH07","Warehouse 7","South","Hyderabad",34680,5966,18,28696,2071,688,5,"998.5","28652956",62,"2024-11-08","INV582683","12146.36","Low Stock","2025-01-08","Rack-99","2024-04-19","Stock level: 34680 units, Supplier rating: 4.85"
"INV00000477","2024-01-28",2024,4,"PART000228","Part 228","PC508289","Subassembly","Essential component Part 228","SUP0058","Supplier 58","Chennai","India","4.66","WH08","Warehouse 8","East","Chennai",44451,26778,22,17651,2632,9128,32,"430.19","7593283.69",61,"2024-01-01","INV621378","65455.88","Out of Stock","2025-12-17","Rack-81","2024-06-02","Stock level: 44451 units, Supplier rating: 4.66"
"INV00000478","2024-02-11",2024,2,"PART000229","Part 229","PC580049","Tool","Essential component Part 229","SUP0059","Supplier 59","Kolkata","India","2.43","WH09","Warehouse 9","West","Kolkata",4842,1520,492,2830,4160,8213,56,"22.22","62882.6",64,"2024-08-11","INV336719","50336.42","Discontinued","null","Rack-29","2024-04-23","Stock level: 4842 units, Supplier rating: 2.43"
"INV00000479","2024-07-10",2024,1,"PART000230","Part 230","PC418176","Packaging","Essential component Part 230","SUP0060","Supplier 60","Jaipur","India","2.81","WH10","Warehouse 10","Central","Jaipur",24798,21856,64,2878,224,16642,16,"350.36","1008336.08",77,"2024-05-14","INV485371","15591.97","On Order","2025-06-28","Rack-18","2024-09-06","Stock level: 24798 units, Supplier rating: 2.81"
"INV00000480","2024-03-17",2024,10,"PART000231","Part 231","PC739992","Raw Material","Essential component Part 231","SUP0001","Supplier 1","Mumbai","India","3.11","WH01","Warehouse 1","North","Mumbai",13472,3028,181,10263,2912,5517,28,"440.01","4515822.63",60,"2024-03-23","INV131377","38127.74","Available","2025-04-28","Rack-70","2024-11-22","Stock level: 13472 units, Supplier rating: 3.11"
"INV00000481","2024-12-16",2024,6,"PART000232","Part 232","PC811679","Component","Essential component Part 232","SUP0002","Supplier 2","Delhi","India","4.79","WH02","Warehouse 2","South","Delhi",8347,2983,198,5166,4520,6083,58,"85.35","440918.1",66,"2024-02-12","INV543434","33406.09","Low Stock","null","Rack-19","2024-03-15","Stock level: 8347 units, Supplier rating: 4.79"
"INV00000482","2024-08-16",2024,2,"PART000233","Part 233","PC742719","Subassembly","Essential component Part 233","SUP0003","Supplier 3","Bangalore","India","4.34","WH03","Warehouse 3","East","Bangalore",37943,35432,184,2327,4450,725,15,"225.87","525599.49",51,"2024-10-07","INV464593","9426.3","Out of Stock","null","Rack-68","2024-12-07","Stock level: 37943 units, Supplier rating: 4.34"
"INV00000483","2024-03-23",2024,11,"PART000234","Part 234","PC413989","Tool","Essential component Part 234","SUP0004","Supplier 4","Pune","India","2.35","WH04","Warehouse 4","West","Pune",32542,19041,387,13114,2006,19168,59,"10.05","131795.7",72,"2024-05-20","INV112143","63255.23","Discontinued","null","Rack-56","2024-09-13","Stock level: 32542 units, Supplier rating: 2.35"
"INV00000484","2024-03-11",2024,10,"PART000235","Part 235","PC925166","Packaging","Essential component Part 235","SUP0005","Supplier 5","Hyderabad","India","4.49","WH05","Warehouse 5","Central","Hyderabad",13818,3307,416,10095,2518,9260,57,"350.12","3534461.4",50,"2024-03-07","INV825568","28002.94","On Order","null","Rack-65","2024-11-03","Stock level: 13818 units, Supplier rating: 4.49"
"INV00000485","2024-03-06",2024,10,"PART000236","Part 236","PC942701","Raw Material","Essential component Part 236","SUP0006","Supplier 6","Chennai","India","4.06","WH06","Warehouse 6","North","Chennai",13913,11303,388,2222,1553,5203,34,"187.62","416891.64",6,"2024-08-19","INV373148","43911.63","Available","2025-01-18","Rack-15","2024-06-05","Stock level: 13913 units, Supplier rating: 4.06"
"INV00000486","2024-02-08",2024,4,"PART000237","Part 237","PC218197","Component","Essential component Part 237","SUP0007","Supplier 7","Kolkata","India","3.94","WH07","Warehouse 7","South","Kolkata",48211,8281,131,39799,3982,18889,23,"667.3","26557872.7",6,"2024-11-27","INV124726","74075.95","Low Stock","null","Rack-48","2024-04-02","Stock level: 48211 units, Supplier rating: 3.94"
"INV00000487","2024-02-04",2024,5,"PART000238","Part 238","PC370842","Subassembly","Essential component Part 238","SUP0008","Supplier 8","Jaipur","India","2.14","WH08","Warehouse 8","East","Jaipur",39466,2229,190,37047,4464,9960,22,"833.24","30869042.28",26,"2024-01-11","INV406871","49029.45","Out of Stock","null","Rack-7","2024-06-14","Stock level: 39466 units, Supplier rating: 2.14"
"INV00000488","2024-06-13",2024,5,"PART000239","Part 239","PC859387","Tool","Essential component Part 239","SUP0009","Supplier 9","Mumbai","India","3.47","WH09","Warehouse 9","West","Mumbai",15882,3167,366,12349,2624,1861,18,"243.45","3006364.05",72,"2024-11-17","INV893771","39193.71","Discontinued","null","Rack-25","2024-07-20","Stock level: 15882 units, Supplier rating: 3.47"
"INV00000489","2024-08-05",2024,5,"PART000240","Part 240","PC171273","Packaging","Essential component Part 240","SUP0010","Supplier 10","Delhi","India","4.04","WH10","Warehouse 10","Central","Delhi",38974,38939,27,8,4988,19470,37,"257.89","2063.12",22,"2024-06-21","INV373153","11256.95","On Order","2025-02-17","Rack-95","2024-04-02","Stock level: 38974 units, Supplier rating: 4.04"
"INV00000490","2024-02-14",2024,8,"PART000241","Part 241","PC199080","Raw Material","Essential component Part 241","SUP0011","Supplier 11","Bangalore","India","3.75","WH01","Warehouse 1","North","Bangalore",397,121,437,-161,4452,16115,51,"35.93","-5784.73",48,"2024-11-16","INV199885","38285.74","Available","null","Rack-80","2024-08-02","Stock level: 397 units, Supplier rating: 3.75"
"INV00000491","2024-06-13",2024,10,"PART000242","Part 242","PC271880","Component","Essential component Part 242","SUP0012","Supplier 12","Pune","India","4.94","WH02","Warehouse 2","South","Pune",38187,18989,405,18793,4168,3900,39,"542.31","10191631.83",26,"2024-02-09","INV958941","8556.86","Low Stock","2025-12-10","Rack-88","2024-03-25","Stock level: 38187 units, Supplier rating: 4.94"
"INV00000492","2024-05-28",2024,8,"PART000243","Part 243","PC567595","Subassembly","Essential component Part 243","SUP0013","Supplier 13","Hyderabad","India","2.83","WH03","Warehouse 3","East","Hyderabad",18993,10970,128,7895,1156,17085,22,"894.09","7058840.55",78,"2024-08-22","INV776615","33909.28","Out of Stock","2025-12-17","Rack-8","2024-05-09","Stock level: 18993 units, Supplier rating: 2.83"
"INV00000493","2024-04-27",2024,7,"PART000244","Part 244","PC989630","Tool","Essential component Part 244","SUP0014","Supplier 14","Chennai","India","2.02","WH04","Warehouse 4","West","Chennai",4816,147,466,4203,244,16271,16,"864.27","3632526.81",75,"2024-03-23","INV375601","63276.66","Discontinued","2025-11-03","Rack-16","2024-10-22","Stock level: 4816 units, Supplier rating: 2.02"
"INV00000494","2024-07-22",2024,10,"PART000245","Part 245","PC316903","Packaging","Essential component Part 245","SUP0015","Supplier 15","Kolkata","India","2.94","WH05","Warehouse 5","Central","Kolkata",43337,3713,377,39247,2141,13612,20,"464.6","18234156.2",17,"2024-02-21","INV252721","53907.44","On Order","2025-04-24","Rack-7","2024-12-19","Stock level: 43337 units, Supplier rating: 2.94"
"INV00000495","2024-11-25",2024,4,"PART000246","Part 246","PC827927","Raw Material","Essential component Part 246","SUP0016","Supplier 16","Jaipur","India","3.11","WH06","Warehouse 6","North","Jaipur",5989,3984,119,1886,4265,2507,27,"712.78","1344303.08",36,"2024-07-08","INV197816","43735.19","Available","2025-07-05","Rack-10","2024-03-24","Stock level: 5989 units, Supplier rating: 3.11"
"INV00000496","2024-01-26",2024,7,"PART000247","Part 247","PC656445","Component","Essential component Part 247","SUP0017","Supplier 17","Mumbai","India","4.74","WH07","Warehouse 7","South","Mumbai",5474,1115,145,4214,1490,16054,40,"953.31","4017248.34",83,"2024-06-25","INV294763","63287.99","Low Stock","null","Rack-9","2024-11-21","Stock level: 5474 units, Supplier rating: 4.74"
"INV00000497","2024-03-06",2024,8,"PART000248","Part 248","PC398376","Subassembly","Essential component Part 248","SUP0018","Supplier 18","Delhi","India","4.73","WH08","Warehouse 8","East","Delhi",49542,19965,254,29323,1348,16808,60,"872.43","25582264.89",51,"2024-02-25","INV119220","81461.74","Out of Stock","null","Rack-90","2024-03-27","Stock level: 49542 units, Supplier rating: 4.73"
"INV00000498","2024-05-08",2024,1,"PART000249","Part 249","PC997101","Tool","Essential component Part 249","SUP0019","Supplier 19","Bangalore","India","3.01","WH09","Warehouse 9","West","Bangalore",302,5,108,189,1909,6027,36,"67.76","12806.64",64,"2024-08-05","INV449397","81865.07","Discontinued","null","Rack-70","2024-09-12","Stock level: 302 units, Supplier rating: 3.01"
"INV00000499","2024-04-07",2024,12,"PART000250","Part 250","PC535909","Packaging","Essential component Part 250","SUP0020","Supplier 20","Pune","India","2.78","WH10","Warehouse 10","Central","Pune",31441,30865,242,334,3966,5411,32,"992","331328",41,"2024-03-27","INV957248","84382.06","On Order","null","Rack-6","2024-02-08","Stock level: 31441 units, Supplier rating: 2.78"
"INV00000500","2024-07-20",2024,1,"PART000001","Part 1","PC836995","Raw Material","Essential component Part 1","SUP0021","Supplier 21","Hyderabad","India","3.07","WH01","Warehouse 1","North","Hyderabad",39252,17551,449,21252,252,18525,25,"521.24","11077392.48",50,"2024-01-12","INV809628","87739.21","Available","null","Rack-88","2024-10-06","Stock level: 39252 units, Supplier rating: 3.07"
"INV00000501","2024-07-27",2024,2,"PART000002","Part 2","PC257419","Component","Essential component Part 2","SUP0022","Supplier 22","Chennai","India","4.05","WH02","Warehouse 2","South","Chennai",28865,28190,270,405,2212,10260,24,"443.96","179803.8",85,"2024-05-24","INV139436","90343.09","Low Stock","null","Rack-40","2024-10-08","Stock level: 28865 units, Supplier rating: 4.05"
"INV00000502","2024-09-21",2024,10,"PART000003","Part 3","PC706370","Subassembly","Essential component Part 3","SUP0023","Supplier 23","Kolkata","India","3.03","WH03","Warehouse 3","East","Kolkata",8114,6646,46,1422,4347,8737,44,"763.4","1085554.8",27,"2024-01-27","INV355971","97436.8","Out of Stock","null","Rack-70","2024-09-23","Stock level: 8114 units, Supplier rating: 3.03"
"INV00000503","2024-05-06",2024,7,"PART000004","Part 4","PC666772","Tool","Essential component Part 4","SUP0024","Supplier 24","Jaipur","India","2.44","WH04","Warehouse 4","West","Jaipur",41736,34958,109,6669,4744,19768,34,"211.24","1408759.56",40,"2024-08-18","INV807908","96001.1","Discontinued","null","Rack-45","2024-10-12","Stock level: 41736 units, Supplier rating: 2.44"
"INV00000504","2024-08-16",2024,8,"PART000005","Part 5","PC430609","Packaging","Essential component Part 5","SUP0025","Supplier 25","Mumbai","India","2.73","WH05","Warehouse 5","Central","Mumbai",48061,43990,146,3925,4731,8235,31,"130.69","512958.25",37,"2024-09-01","INV314363","40808.4","On Order","null","Rack-65","2024-10-01","Stock level: 48061 units, Supplier rating: 2.73"
"INV00000505","2024-02-26",2024,7,"PART000006","Part 6","PC511822","Raw Material","Essential component Part 6","SUP0026","Supplier 26","Delhi","India","3.04","WH06","Warehouse 6","North","Delhi",36563,30770,66,5727,3487,5711,59,"426.11","2440331.97",19,"2024-10-01","INV514422","53578.58","Available","null","Rack-81","2024-03-22","Stock level: 36563 units, Supplier rating: 3.04"
"INV00000506","2024-05-18",2024,9,"PART000007","Part 7","PC290185","Component","Essential component Part 7","SUP0027","Supplier 27","Bangalore","India","4.1","WH07","Warehouse 7","South","Bangalore",36628,10098,437,26093,2504,5774,8,"361.13","9422965.09",20,"2024-08-09","INV639262","7390.54","Low Stock","null","Rack-82","2024-12-07","Stock level: 36628 units, Supplier rating: 4.1"
"INV00000507","2024-05-12",2024,5,"PART000008","Part 8","PC390895","Subassembly","Essential component Part 8","SUP0028","Supplier 28","Pune","India","3.52","WH08","Warehouse 8","East","Pune",24791,5521,3,19267,535,2556,57,"473.64","9125621.88",50,"2024-10-06","INV263636","60566.98","Out of Stock","2025-06-28","Rack-16","2024-11-17","Stock level: 24791 units, Supplier rating: 3.52"
"INV00000508","2024-10-02",2024,4,"PART000009","Part 9","PC308031","Tool","Essential component Part 9","SUP0029","Supplier 29","Hyderabad","India","3.97","WH09","Warehouse 9","West","Hyderabad",20022,2223,68,17731,2367,2803,7,"83.43","1479297.33",68,"2024-06-13","INV108819","42359.1","Discontinued","null","Rack-15","2024-07-03","Stock level: 20022 units, Supplier rating: 3.97"
"INV00000509","2024-04-25",2024,3,"PART000010","Part 10","PC466869","Packaging","Essential component Part 10","SUP0030","Supplier 30","Chennai","India","3.45","WH10","Warehouse 10","Central","Chennai",14070,13339,54,677,2803,15150,34,"888.77","601697.29",49,"2024-06-14","INV540013","11331.14","On Order","null","Rack-51","2024-04-18","Stock level: 14070 units, Supplier rating: 3.45"
"INV00000510","2024-10-26",2024,6,"PART000011","Part 11","PC452822","Raw Material","Essential component Part 11","SUP0031","Supplier 31","Kolkata","India","3.85","WH01","Warehouse 1","North","Kolkata",20823,15621,47,5155,3119,7322,53,"656.08","3382092.4",27,"2024-09-02","INV177938","75456.73","Available","null","Rack-1","2024-09-20","Stock level: 20823 units, Supplier rating: 3.85"
"INV00000511","2024-06-04",2024,12,"PART000012","Part 12","PC944121","Component","Essential component Part 12","SUP0032","Supplier 32","Jaipur","India","4.56","WH02","Warehouse 2","South","Jaipur",42451,7768,236,34447,4211,17550,33,"869.28","29944088.16",27,"2024-04-10","INV861493","85944.34","Low Stock","2025-11-19","Rack-6","2024-06-24","Stock level: 42451 units, Supplier rating: 4.56"
"INV00000512","2024-03-13",2024,8,"PART000013","Part 13","PC510671","Subassembly","Essential component Part 13","SUP0033","Supplier 33","Mumbai","India","2.61","WH03","Warehouse 3","East","Mumbai",15003,8432,91,6480,1343,12179,33,"914.89","5928487.2",79,"2024-05-28","INV326353","55982.28","Out of Stock","null","Rack-67","2024-07-02","Stock level: 15003 units, Supplier rating: 2.61"
"INV00000513","2024-05-02",2024,2,"PART000014","Part 14","PC318569","Tool","Essential component Part 14","SUP0034","Supplier 34","Delhi","India","4.4","WH04","Warehouse 4","West","Delhi",5058,2329,289,2440,2994,17421,37,"406.29","991347.6",43,"2024-11-16","INV988420","71602.98","Discontinued","null","Rack-75","2024-05-04","Stock level: 5058 units, Supplier rating: 4.4"
"INV00000514","2024-10-23",2024,5,"PART000015","Part 15","PC252307","Packaging","Essential component Part 15","SUP0035","Supplier 35","Bangalore","India","3.64","WH05","Warehouse 5","Central","Bangalore",34357,11462,149,22746,2892,19659,9,"763.63","17369527.98",87,"2024-08-04","INV750175","67052.59","On Order","null","Rack-96","2024-04-22","Stock level: 34357 units, Supplier rating: 3.64"
"INV00000515","2024-12-09",2024,10,"PART000016","Part 16","PC910740","Raw Material","Essential component Part 16","SUP0036","Supplier 36","Pune","India","4.11","WH06","Warehouse 6","North","Pune",41782,39256,259,2267,2512,8350,42,"539.27","1222525.09",67,"2024-08-28","INV874672","1927.44","Available","null","Rack-1","2024-05-07","Stock level: 41782 units, Supplier rating: 4.11"
"INV00000516","2024-05-12",2024,12,"PART000017","Part 17","PC435850","Component","Essential component Part 17","SUP0037","Supplier 37","Hyderabad","India","2.42","WH07","Warehouse 7","South","Hyderabad",22943,2449,431,20063,3295,6463,9,"138.84","2785546.92",9,"2024-08-28","INV320736","37291.93","Low Stock","null","Rack-88","2024-08-21","Stock level: 22943 units, Supplier rating: 2.42"
"INV00000517","2024-05-01",2024,5,"PART000018","Part 18","PC995309","Subassembly","Essential component Part 18","SUP0038","Supplier 38","Chennai","India","3.02","WH08","Warehouse 8","East","Chennai",49441,36660,43,12738,4489,4802,57,"873.75","11129827.5",58,"2024-05-03","INV267742","50405.59","Out of Stock","2025-03-23","Rack-77","2024-11-07","Stock level: 49441 units, Supplier rating: 3.02"
"INV00000518","2024-05-18",2024,3,"PART000019","Part 19","PC683199","Tool","Essential component Part 19","SUP0039","Supplier 39","Kolkata","India","3.38","WH09","Warehouse 9","West","Kolkata",38877,16185,85,22607,1102,18603,60,"355.39","8034301.73",44,"2024-05-05","INV291564","42555.95","Discontinued","null","Rack-90","2024-09-15","Stock level: 38877 units, Supplier rating: 3.38"
"INV00000519","2024-09-27",2024,3,"PART000020","Part 20","PC228646","Packaging","Essential component Part 20","SUP0040","Supplier 40","Jaipur","India","2.11","WH10","Warehouse 10","Central","Jaipur",37980,360,211,37409,2319,9917,54,"681.52","25494981.68",52,"2024-03-04","INV624660","65461.61","On Order","null","Rack-72","2024-11-28","Stock level: 37980 units, Supplier rating: 2.11"
"INV00000520","2024-11-19",2024,7,"PART000021","Part 21","PC562595","Raw Material","Essential component Part 21","SUP0041","Supplier 41","Mumbai","India","4.8","WH01","Warehouse 1","North","Mumbai",36161,35091,432,638,3966,12629,48,"218.88","139645.44",49,"2024-01-23","INV159197","61275.51","Available","null","Rack-64","2024-09-28","Stock level: 36161 units, Supplier rating: 4.8"
"INV00000521","2024-07-23",2024,7,"PART000022","Part 22","PC858797","Component","Essential component Part 22","SUP0042","Supplier 42","Delhi","India","2.58","WH02","Warehouse 2","South","Delhi",1912,793,82,1037,812,10174,52,"491.28","509457.36",34,"2024-11-16","INV240758","86812.69","Low Stock","null","Rack-30","2024-12-27","Stock level: 1912 units, Supplier rating: 2.58"
"INV00000522","2024-02-28",2024,3,"PART000023","Part 23","PC793555","Subassembly","Essential component Part 23","SUP0043","Supplier 43","Bangalore","India","3.88","WH03","Warehouse 3","East","Bangalore",30610,12683,445,17482,1916,16753,13,"498.33","8711805.06",65,"2024-12-12","INV800678","93421.65","Out of Stock","2025-01-10","Rack-40","2024-01-25","Stock level: 30610 units, Supplier rating: 3.88"
"INV00000523","2024-08-27",2024,8,"PART000024","Part 24","PC658649","Tool","Essential component Part 24","SUP0044","Supplier 44","Pune","India","4.67","WH04","Warehouse 4","West","Pune",47337,19726,349,27262,3350,14034,37,"779.19","21242277.78",24,"2024-01-15","INV355581","60024.05","Discontinued","null","Rack-27","2024-09-21","Stock level: 47337 units, Supplier rating: 4.67"
"INV00000524","2024-07-08",2024,3,"PART000025","Part 25","PC962460","Packaging","Essential component Part 25","SUP0045","Supplier 45","Hyderabad","India","2.87","WH05","Warehouse 5","Central","Hyderabad",13909,1657,70,12182,4473,1805,34,"424.51","5171380.82",71,"2024-07-03","INV848214","53318.64","On Order","null","Rack-24","2024-12-27","Stock level: 13909 units, Supplier rating: 2.87"
"INV00000525","2024-07-23",2024,5,"PART000026","Part 26","PC339193","Raw Material","Essential component Part 26","SUP0046","Supplier 46","Chennai","India","3.67","WH06","Warehouse 6","North","Chennai",18964,11485,43,7436,3033,13273,30,"257.8","1917000.8",63,"2024-05-28","INV706684","12762.97","Available","null","Rack-87","2024-11-22","Stock level: 18964 units, Supplier rating: 3.67"
"INV00000526","2024-11-13",2024,6,"PART000027","Part 27","PC322199","Component","Essential component Part 27","SUP0047","Supplier 47","Kolkata","India","4.37","WH07","Warehouse 7","South","Kolkata",7178,4702,113,2363,4514,18879,53,"652.92","1542849.96",24,"2024-05-17","INV264086","68946.91","Low Stock","2025-09-04","Rack-23","2024-12-15","Stock level: 7178 units, Supplier rating: 4.37"
"INV00000527","2024-12-07",2024,10,"PART000028","Part 28","PC276658","Subassembly","Essential component Part 28","SUP0048","Supplier 48","Jaipur","India","4.97","WH08","Warehouse 8","East","Jaipur",30698,3757,50,26891,2354,4739,25,"486.57","13084353.87",30,"2024-10-13","INV802019","3661.08","Out of Stock","2025-05-17","Rack-66","2024-07-21","Stock level: 30698 units, Supplier rating: 4.97"
"INV00000528","2024-03-08",2024,1,"PART000029","Part 29","PC311119","Tool","Essential component Part 29","SUP0049","Supplier 49","Mumbai","India","2.93","WH09","Warehouse 9","West","Mumbai",44636,40782,114,3740,3738,14422,30,"196.09","733376.6",26,"2024-05-26","INV790997","4625.68","Discontinued","null","Rack-17","2024-12-04","Stock level: 44636 units, Supplier rating: 2.93"
"INV00000529","2024-01-26",2024,2,"PART000030","Part 30","PC835643","Packaging","Essential component Part 30","SUP0050","Supplier 50","Delhi","India","2","WH10","Warehouse 10","Central","Delhi",43949,32165,193,11591,2838,8965,36,"176.52","2046043.32",38,"2024-12-08","INV570517","24398.67","On Order","null","Rack-9","2024-10-28","Stock level: 43949 units, Supplier rating: 2.0"
"INV00000530","2024-05-20",2024,5,"PART000031","Part 31","PC934150","Raw Material","Essential component Part 31","SUP0051","Supplier 51","Bangalore","India","4.83","WH01","Warehouse 1","North","Bangalore",48022,12446,436,35140,4785,16314,53,"936.67","32914583.8",63,"2024-05-04","INV661656","62625.91","Available","null","Rack-4","2024-10-05","Stock level: 48022 units, Supplier rating: 4.83"
"INV00000531","2024-10-22",2024,4,"PART000032","Part 32","PC272006","Component","Essential component Part 32","SUP0052","Supplier 52","Pune","India","3.52","WH02","Warehouse 2","South","Pune",36170,3124,53,32993,2117,13236,45,"136.37","4499255.41",77,"2024-09-05","INV608804","57828.07","Low Stock","null","Rack-42","2024-07-25","Stock level: 36170 units, Supplier rating: 3.52"
"INV00000532","2024-04-25",2024,6,"PART000033","Part 33","PC775181","Subassembly","Essential component Part 33","SUP0053","Supplier 53","Hyderabad","India","3.05","WH03","Warehouse 3","East","Hyderabad",31990,25639,214,6137,2583,19270,44,"94.01","576939.37",82,"2024-07-23","INV135988","23034.91","Out of Stock","null","Rack-97","2024-08-08","Stock level: 31990 units, Supplier rating: 3.05"
"INV00000533","2024-03-14",2024,10,"PART000034","Part 34","PC865963","Tool","Essential component Part 34","SUP0054","Supplier 54","Chennai","India","3.57","WH04","Warehouse 4","West","Chennai",49807,40527,120,9160,1776,7206,47,"571.03","5230634.8",28,"2024-07-23","INV467396","42429.1","Discontinued","null","Rack-1","2024-02-28","Stock level: 49807 units, Supplier rating: 3.57"
"INV00000534","2024-06-15",2024,3,"PART000035","Part 35","PC473402","Packaging","Essential component Part 35","SUP0055","Supplier 55","Kolkata","India","2.59","WH05","Warehouse 5","Central","Kolkata",25587,1583,498,23506,3294,5823,48,"873.14","20524028.84",31,"2024-10-19","INV320667","13280.42","On Order","2025-02-01","Rack-41","2024-12-12","Stock level: 25587 units, Supplier rating: 2.59"
"INV00000535","2024-05-12",2024,10,"PART000036","Part 36","PC801881","Raw Material","Essential component Part 36","SUP0056","Supplier 56","Jaipur","India","3.5","WH06","Warehouse 6","North","Jaipur",37800,1583,161,36056,384,4995,49,"445.25","16053934",5,"2024-10-26","INV357117","63801.44","Available","null","Rack-52","2024-09-08","Stock level: 37800 units, Supplier rating: 3.5"
