"log_id","log_date","log_time","year","month","machine_id","machine_name","machine_model","machine_type","manufacturer","factory_id","factory_name","assembly_line_id","assembly_line_name","temperature","humidity","pressure","vibration","rpm","power","status","health_score","maintenance_alert","efficiency","uptime","downtime","idletime","production_count","errorcode","error_code","last_maintenance_date","next_maintenance_date"
"LOG00000392","2024-06-05","23:53:54",2024,4,"MACH00093","Machine 93","MODEL-2970","CNC Machine","Siemens","FAC01","Factory 1","LINE003","Assembly Line 3","37.7","32.7","1.37","32.65",5583,"13.7","Maintenance","68.39","Yes","82.47",24,12,2,1019,"E003","Error condition E003","2024-04-21","2024-01-17"
"LOG00000393","2024-09-19","14:02:09",2024,7,"MACH00094","Machine 94","MODEL-8618","Hydraulic Press","ABB","FAC02","Factory 2","LINE004","Assembly Line 4","75.1","77.5","5.81","15.14",7225,"23.61","Error","69.07","Yes","83.59",8,17,9,6182,"E004","Error condition E004","2024-08-18","2024-11-18"
"LOG00000394","2024-11-18","18:53:31",2024,1,"MACH00095","Machine 95","MODEL-8004","Conveyor","Fanuc","FAC03","Factory 3","LINE005","Assembly Line 5","50.7","78.1","9.09","21.13",8033,"17.32","Stopped","61.68","Yes","63.9",20,10,22,7775,"E005","Error condition E005","2024-09-22","2024-02-09"
"LOG00000395","2024-08-16","09:00:30",2024,10,"MACH00096","Machine 96","MODEL-1786","Robot Arm","KUKA","FAC04","Factory 4","LINE006","Assembly Line 6","32.6","52.3","4.67","47.91",1823,"42.74","Running","58.49","Yes","70.6",3,12,6,7218,"None","No errors","2024-11-22","2024-07-25"
"LOG00000396","2024-03-03","17:29:35",2024,12,"MACH00097","Machine 97","MODEL-8084","Welder","Bosch","FAC05","Factory 5","LINE007","Assembly Line 7","70","51.9","8.52","23.26",6940,"23.84","Idle","99.09","No","77.91",23,15,15,8324,"E001","Error condition E001","2024-09-04","2024-06-06"
"LOG00000397","2024-12-08","14:15:10",2024,4,"MACH00098","Machine 98","MODEL-2309","Drill","Mitsubishi","FAC06","Factory 6","LINE008","Assembly Line 8","24.6","62","7.44","42.57",8174,"37.89","Maintenance","51.56","Yes","76.93",0,2,15,9575,"E002","Error condition E002","2024-12-02","2024-04-01"
"LOG00000398","2024-12-26","00:20:23",2024,7,"MACH00099","Machine 99","MODEL-9751","Lathe","Yaskawa","FAC07","Factory 7","LINE009","Assembly Line 9","33","65","3.48","23.82",3207,"8.87","Error","78.46","No","74.71",1,15,5,4690,"E003","Error condition E003","2024-01-05","2024-03-23"
"LOG00000399","2024-03-27","13:46:05",2024,3,"MACH00100","Machine 100","MODEL-3453","Compressor","Omron","FAC08","Factory 8","LINE010","Assembly Line 10","46","71.5","6.8","39.31",7283,"19.29","Stopped","85.14","No","78.95",22,14,4,2526,"E004","Error condition E004","2024-10-01","2024-04-14"
"LOG00000400","2024-04-21","12:41:26",2024,1,"MACH00001","Machine 1","MODEL-5182","CNC Machine","Siemens","FAC01","Factory 1","LINE011","Assembly Line 11","60.5","70.2","1.98","1.53",915,"34.23","Running","99.64","No","71.55",13,0,1,4340,"E005","Error condition E005","2024-07-02","2024-08-08"
"LOG00000401","2024-06-19","07:17:29",2024,1,"MACH00002","Machine 2","MODEL-7020","Hydraulic Press","ABB","FAC02","Factory 2","LINE012","Assembly Line 12","28.8","34.3","4.52","44.13",3354,"16.28","Idle","84.51","No","77.02",22,16,3,2256,"None","No errors","2024-08-27","2024-09-28"
"LOG00000402","2024-09-09","02:40:22",2024,6,"MACH00003","Machine 3","MODEL-7483","Conveyor","Fanuc","FAC03","Factory 3","LINE013","Assembly Line 13","71.5","32.6","1.33","25.4",7543,"7.06","Maintenance","91.28","No","88.23",23,22,3,5912,"E001","Error condition E001","2024-08-24","2024-06-14"
"LOG00000403","2024-11-28","16:48:01",2024,1,"MACH00004","Machine 4","MODEL-1062","Robot Arm","KUKA","FAC04","Factory 4","LINE014","Assembly Line 14","68.6","39.8","2.82","25.16",6558,"23.74","Error","71.45","No","69.81",20,11,8,7673,"E002","Error condition E002","2024-02-06","2024-05-20"
"LOG00000404","2024-05-25","10:35:40",2024,10,"MACH00005","Machine 5","MODEL-6813","Welder","Bosch","FAC05","Factory 5","LINE015","Assembly Line 15","37.2","76.8","2.49","28.89",2557,"9.46","Stopped","66.44","Yes","66.94",19,17,24,2250,"E003","Error condition E003","2024-08-14","2024-07-10"
"LOG00000405","2024-05-28","09:02:59",2024,12,"MACH00006","Machine 6","MODEL-1005","Drill","Mitsubishi","FAC06","Factory 6","LINE016","Assembly Line 16","55.3","73.9","9.11","25.53",8432,"21.12","Running","62.68","Yes","95.03",14,5,9,2207,"E004","Error condition E004","2024-09-07","2024-08-14"
"LOG00000406","2024-03-02","02:15:59",2024,11,"MACH00007","Machine 7","MODEL-3432","Lathe","Yaskawa","FAC07","Factory 7","LINE017","Assembly Line 17","78.1","47.2","2.99","43.81",8648,"9.07","Idle","91.32","No","87.13",1,13,15,3337,"E005","Error condition E005","2024-12-16","2024-07-03"
"LOG00000407","2024-02-02","14:59:16",2024,6,"MACH00008","Machine 8","MODEL-9403","Compressor","Omron","FAC08","Factory 8","LINE018","Assembly Line 18","23","67.7","5.01","29.04",2581,"31.7","Maintenance","76.81","No","94.74",21,1,5,4000,"None","No errors","2024-11-18","2024-03-10"
"LOG00000408","2024-03-09","11:55:44",2024,9,"MACH00009","Machine 9","MODEL-9686","CNC Machine","Siemens","FAC01","Factory 1","LINE019","Assembly Line 19","54.5","71","6.63","36.87",2001,"23.57","Error","60.74","Yes","87.58",1,8,9,8864,"E001","Error condition E001","2024-06-19","2024-08-06"
"LOG00000409","2024-04-05","08:45:01",2024,12,"MACH00010","Machine 10","MODEL-7522","Hydraulic Press","ABB","FAC02","Factory 2","LINE020","Assembly Line 20","25.8","77.7","2.52","1.08",3498,"30.07","Stopped","65.19","Yes","86.23",4,4,7,4417,"E002","Error condition E002","2024-11-20","2024-02-03"
"LOG00000410","2024-05-08","12:12:00",2024,7,"MACH00011","Machine 11","MODEL-3337","Conveyor","Fanuc","FAC03","Factory 3","LINE021","Assembly Line 21","22.6","44.8","3.55","24.75",3410,"34.66","Running","85.18","No","96.22",5,4,10,4691,"E003","Error condition E003","2024-05-03","2024-07-27"
"LOG00000411","2024-10-03","15:23:44",2024,6,"MACH00012","Machine 12","MODEL-7985","Robot Arm","KUKA","FAC04","Factory 4","LINE022","Assembly Line 22","69.5","43.6","9.62","6.82",6562,"14.2","Idle","98.69","No","85.2",7,9,20,2416,"E004","Error condition E004","2024-07-12","2024-03-28"
"LOG00000412","2024-11-04","20:50:00",2024,7,"MACH00013","Machine 13","MODEL-8702","Welder","Bosch","FAC05","Factory 5","LINE023","Assembly Line 23","65.7","63.5","9.06","17.57",7507,"5.09","Maintenance","96.37","No","83.53",13,2,10,6004,"E005","Error condition E005","2024-07-14","2024-12-23"
"LOG00000413","2024-04-01","23:00:30",2024,8,"MACH00014","Machine 14","MODEL-5592","Drill","Mitsubishi","FAC06","Factory 6","LINE024","Assembly Line 24","42.7","39.9","6.32","38.1",3166,"16.6","Error","53.95","Yes","75.62",6,24,7,6864,"None","No errors","2024-09-12","2024-09-20"
"LOG00000414","2024-11-22","10:11:26",2024,4,"MACH00015","Machine 15","MODEL-5399","Lathe","Yaskawa","FAC07","Factory 7","LINE025","Assembly Line 25","48.8","78.8","5.6","33.06",7391,"17.36","Stopped","86.43","No","92.94",15,8,19,1742,"E001","Error condition E001","2024-06-06","2024-01-03"
"LOG00000415","2024-02-01","22:35:36",2024,11,"MACH00016","Machine 16","MODEL-3193","Compressor","Omron","FAC08","Factory 8","LINE026","Assembly Line 26","50.1","74.9","8.01","5.53",7303,"21.1","Running","70.59","No","68.12",9,2,12,9663,"E002","Error condition E002","2024-03-04","2024-09-21"
"LOG00000416","2024-02-09","00:25:00",2024,3,"MACH00017","Machine 17","MODEL-6135","CNC Machine","Siemens","FAC01","Factory 1","LINE027","Assembly Line 27","37.1","66.8","4.01","17.14",8287,"16.72","Idle","80.74","No","87.19",1,8,23,3318,"E003","Error condition E003","2024-07-05","2024-04-18"
"LOG00000417","2024-05-11","09:37:46",2024,9,"MACH00018","Machine 18","MODEL-9140","Hydraulic Press","ABB","FAC02","Factory 2","LINE028","Assembly Line 28","27.7","37.3","9.96","49.2",7403,"33","Maintenance","99.87","No","66.79",13,22,6,4767,"E004","Error condition E004","2024-06-06","2024-07-04"
"LOG00000418","2024-11-20","05:52:41",2024,2,"MACH00019","Machine 19","MODEL-2855","Conveyor","Fanuc","FAC03","Factory 3","LINE029","Assembly Line 29","76.4","65.9","6.48","33.18",2900,"10.59","Error","76.38","No","93.68",11,9,18,1655,"E005","Error condition E005","2024-10-10","2024-10-24"
"LOG00000419","2024-08-22","05:55:06",2024,2,"MACH00020","Machine 20","MODEL-4682","Robot Arm","KUKA","FAC04","Factory 4","LINE030","Assembly Line 30","68","47.9","7.64","15.03",2881,"22.3","Stopped","98.18","No","84.5",21,8,7,4191,"None","No errors","2024-10-09","2024-08-20"
"LOG00000420","2024-05-07","12:18:02",2024,1,"MACH00021","Machine 21","MODEL-6886","Welder","Bosch","FAC05","Factory 5","LINE001","Assembly Line 1","25.9","64.8","7.67","21.13",193,"14.18","Running","86.14","No","70.17",19,20,5,7413,"E001","Error condition E001","2024-08-26","2024-05-13"
"LOG00000421","2024-05-18","01:36:04",2024,5,"MACH00022","Machine 22","MODEL-7442","Drill","Mitsubishi","FAC06","Factory 6","LINE002","Assembly Line 2","58.6","66.2","3.95","40.14",716,"29.89","Idle","98.02","No","83.48",10,22,9,7643,"E002","Error condition E002","2024-03-01","2024-09-05"
"LOG00000422","2024-02-03","05:15:17",2024,3,"MACH00023","Machine 23","MODEL-3945","Lathe","Yaskawa","FAC07","Factory 7","LINE003","Assembly Line 3","32.4","74.5","0.59","32.07",4867,"15.48","Maintenance","92.37","No","66.38",0,24,0,5517,"E003","Error condition E003","2024-06-14","2024-02-04"
"LOG00000423","2024-11-01","10:06:46",2024,1,"MACH00024","Machine 24","MODEL-5773","Compressor","Omron","FAC08","Factory 8","LINE004","Assembly Line 4","49.3","31","3.07","46.05",7849,"13.79","Error","55","Yes","90.53",11,14,2,8224,"E004","Error condition E004","2024-05-11","2024-08-14"
"LOG00000424","2024-03-09","06:03:07",2024,10,"MACH00025","Machine 25","MODEL-4429","CNC Machine","Siemens","FAC01","Factory 1","LINE005","Assembly Line 5","58.9","70.7","6.53","8.23",2488,"20.7","Stopped","80.61","No","87.61",18,13,0,2053,"E005","Error condition E005","2024-04-25","2024-12-10"
"LOG00000425","2024-04-10","13:10:50",2024,8,"MACH00026","Machine 26","MODEL-1825","Hydraulic Press","ABB","FAC02","Factory 2","LINE006","Assembly Line 6","71.1","77.4","6.36","5.09",5745,"47.04","Running","53.2","Yes","61.01",8,16,6,4095,"None","No errors","2024-12-08","2024-08-11"
"LOG00000426","2024-04-04","17:54:22",2024,5,"MACH00027","Machine 27","MODEL-8775","Conveyor","Fanuc","FAC03","Factory 3","LINE007","Assembly Line 7","74.3","42.6","4.86","23.64",3644,"37.97","Idle","62.35","Yes","69.34",2,7,7,1142,"E001","Error condition E001","2024-01-25","2024-12-25"
"LOG00000427","2024-08-14","22:32:47",2024,2,"MACH00028","Machine 28","MODEL-8407","Robot Arm","KUKA","FAC04","Factory 4","LINE008","Assembly Line 8","79.6","62.3","2.08","4.1",932,"44.97","Maintenance","52.66","Yes","72.96",12,11,10,9578,"E002","Error condition E002","2024-11-15","2024-10-12"
"LOG00000428","2024-03-04","19:25:18",2024,6,"MACH00029","Machine 29","MODEL-4931","Welder","Bosch","FAC05","Factory 5","LINE009","Assembly Line 9","31.9","69.5","3.54","20.33",695,"39.98","Error","91.88","No","88.39",14,7,23,1879,"E003","Error condition E003","2024-12-06","2024-07-26"
"LOG00000429","2024-12-24","18:48:43",2024,3,"MACH00030","Machine 30","MODEL-3344","Drill","Mitsubishi","FAC06","Factory 6","LINE010","Assembly Line 10","42.6","67.7","2.76","33.82",1267,"49.29","Stopped","79.72","No","66",19,22,19,9509,"E004","Error condition E004","2024-05-15","2024-10-14"
"LOG00000430","2024-09-21","11:13:20",2024,3,"MACH00031","Machine 31","MODEL-3480","Lathe","Yaskawa","FAC07","Factory 7","LINE011","Assembly Line 11","78.2","75.5","8.08","30.21",3431,"49.87","Running","54.89","Yes","99.27",21,8,9,4637,"E005","Error condition E005","2024-07-01","2024-08-26"
"LOG00000431","2024-10-19","11:06:34",2024,11,"MACH00032","Machine 32","MODEL-8482","Compressor","Omron","FAC08","Factory 8","LINE012","Assembly Line 12","31.1","59.5","7.35","32.88",2086,"29.47","Idle","82.69","No","62.48",22,19,2,8693,"None","No errors","2024-06-01","2024-07-16"
"LOG00000432","2024-08-07","10:52:08",2024,4,"MACH00033","Machine 33","MODEL-9331","CNC Machine","Siemens","FAC01","Factory 1","LINE013","Assembly Line 13","50.6","70.8","4.95","33.22",8443,"0.56","Maintenance","90.18","No","91.32",20,14,4,5751,"E001","Error condition E001","2024-07-15","2024-12-17"
"LOG00000433","2024-03-27","17:12:32",2024,9,"MACH00034","Machine 34","MODEL-8323","Hydraulic Press","ABB","FAC02","Factory 2","LINE014","Assembly Line 14","33","46.4","2.61","9.57",3350,"21.13","Error","78.79","No","90.87",7,15,22,7354,"E002","Error condition E002","2024-02-25","2024-07-27"
"LOG00000434","2024-11-10","17:33:02",2024,10,"MACH00035","Machine 35","MODEL-4776","Conveyor","Fanuc","FAC03","Factory 3","LINE015","Assembly Line 15","31.2","33.2","0.51","7.1",5585,"5.96","Stopped","93.71","No","96.59",3,20,3,8032,"E003","Error condition E003","2024-02-18","2024-12-05"
"LOG00000435","2024-03-15","07:50:24",2024,5,"MACH00036","Machine 36","MODEL-4624","Robot Arm","KUKA","FAC04","Factory 4","LINE016","Assembly Line 16","64.8","67.1","4.89","25.19",9758,"21.81","Running","98.28","No","69.63",24,22,0,999,"E004","Error condition E004","2024-04-28","2024-08-23"
"LOG00000436","2024-01-18","02:48:19",2024,5,"MACH00037","Machine 37","MODEL-2134","Welder","Bosch","FAC05","Factory 5","LINE017","Assembly Line 17","51.4","63.7","4.7","20.73",5325,"27.68","Idle","68.09","Yes","75.7",0,0,10,8264,"E005","Error condition E005","2024-03-18","2024-08-26"
"LOG00000437","2024-07-04","12:51:40",2024,3,"MACH00038","Machine 38","MODEL-7715","Drill","Mitsubishi","FAC06","Factory 6","LINE018","Assembly Line 18","38.6","76.5","5.29","7.62",8164,"36.5","Maintenance","60.35","Yes","76.27",15,14,9,7298,"None","No errors","2024-10-09","2024-05-24"
"LOG00000438","2024-01-02","00:59:51",2024,8,"MACH00039","Machine 39","MODEL-1222","Lathe","Yaskawa","FAC07","Factory 7","LINE019","Assembly Line 19","57.5","44.7","7.96","20.61",887,"1.26","Error","88.33","No","77.23",14,2,17,4562,"E001","Error condition E001","2024-03-05","2024-11-21"
"LOG00000439","2024-05-19","04:27:38",2024,1,"MACH00040","Machine 40","MODEL-5325","Compressor","Omron","FAC08","Factory 8","LINE020","Assembly Line 20","33.5","30.1","4.05","31.97",8445,"12.23","Stopped","63.6","Yes","98.04",13,7,10,615,"E002","Error condition E002","2024-03-01","2024-09-14"
"LOG00000440","2024-08-23","11:33:57",2024,12,"MACH00041","Machine 41","MODEL-4412","CNC Machine","Siemens","FAC01","Factory 1","LINE021","Assembly Line 21","26.5","74.4","4.81","10.63",3790,"32.36","Running","69.19","Yes","64.77",14,11,8,7946,"E003","Error condition E003","2024-12-27","2024-01-17"
"LOG00000441","2024-10-15","19:44:40",2024,5,"MACH00042","Machine 42","MODEL-3627","Hydraulic Press","ABB","FAC02","Factory 2","LINE022","Assembly Line 22","69","36.6","3.85","41.31",879,"30.59","Idle","51.84","Yes","96.79",22,8,12,962,"E004","Error condition E004","2024-05-19","2024-06-06"
"LOG00000442","2024-08-11","14:55:04",2024,11,"MACH00043","Machine 43","MODEL-3786","Conveyor","Fanuc","FAC03","Factory 3","LINE023","Assembly Line 23","20","79","4.87","18.22",2095,"37.51","Maintenance","79.21","No","82",19,0,11,6025,"E005","Error condition E005","2024-12-03","2024-03-10"
"LOG00000443","2024-01-15","03:22:57",2024,9,"MACH00044","Machine 44","MODEL-7848","Robot Arm","KUKA","FAC04","Factory 4","LINE024","Assembly Line 24","51.7","66.2","8.44","29.23",7593,"21.39","Error","64.49","Yes","61.49",21,1,14,7412,"None","No errors","2024-04-17","2024-11-19"
"LOG00000444","2024-11-25","10:39:57",2024,9,"MACH00045","Machine 45","MODEL-1944","Welder","Bosch","FAC05","Factory 5","LINE025","Assembly Line 25","33.1","66.7","7.12","41.01",4986,"17.57","Stopped","61.17","Yes","97.89",13,21,9,6584,"E001","Error condition E001","2024-08-24","2024-07-27"
"LOG00000445","2024-06-19","04:25:04",2024,10,"MACH00046","Machine 46","MODEL-8228","Drill","Mitsubishi","FAC06","Factory 6","LINE026","Assembly Line 26","37","52","6.32","10.13",5031,"34.8","Running","90.46","No","84.02",1,9,23,8378,"E002","Error condition E002","2024-05-12","2024-09-06"
"LOG00000446","2024-03-07","08:13:50",2024,10,"MACH00047","Machine 47","MODEL-5221","Lathe","Yaskawa","FAC07","Factory 7","LINE027","Assembly Line 27","45.7","48.6","5.74","47.4",6060,"27.97","Idle","58.15","Yes","79.72",4,16,9,7806,"E003","Error condition E003","2024-09-02","2024-03-26"
"LOG00000447","2024-03-02","06:01:53",2024,5,"MACH00048","Machine 48","MODEL-5359","Compressor","Omron","FAC08","Factory 8","LINE028","Assembly Line 28","62.5","68.4","6.52","41.83",7319,"23.8","Maintenance","97.52","No","98.84",17,8,2,6139,"E004","Error condition E004","2024-08-25","2024-08-13"
"LOG00000448","2024-01-19","10:53:28",2024,10,"MACH00049","Machine 49","MODEL-2919","CNC Machine","Siemens","FAC01","Factory 1","LINE029","Assembly Line 29","57.6","52.5","4.34","21.98",4345,"36.45","Error","60.13","Yes","61.17",6,12,11,2998,"E005","Error condition E005","2024-04-19","2024-11-21"
"LOG00000449","2024-12-18","04:10:40",2024,9,"MACH00050","Machine 50","MODEL-7902","Hydraulic Press","ABB","FAC02","Factory 2","LINE030","Assembly Line 30","59.7","71.5","2.4","30.51",8519,"44.39","Stopped","92.51","No","70.01",20,12,4,7419,"None","No errors","2024-12-06","2024-10-28"
"LOG00000450","2024-10-21","19:26:08",2024,8,"MACH00051","Machine 51","MODEL-2192","Conveyor","Fanuc","FAC03","Factory 3","LINE001","Assembly Line 1","29.2","45.1","8.86","47.48",144,"17.26","Running","90.21","No","65.37",3,7,21,8069,"E001","Error condition E001","2024-08-23","2024-03-10"
"LOG00000451","2024-08-09","13:38:27",2024,10,"MACH00052","Machine 52","MODEL-7132","Robot Arm","KUKA","FAC04","Factory 4","LINE002","Assembly Line 2","24.3","42.9","1.62","20.94",3017,"42.05","Idle","64.68","Yes","84.08",1,19,11,7128,"E002","Error condition E002","2024-01-02","2024-03-23"
"LOG00000452","2024-09-13","15:41:35",2024,11,"MACH00053","Machine 53","MODEL-9309","Welder","Bosch","FAC05","Factory 5","LINE003","Assembly Line 3","69.9","61.2","7.07","41.87",3639,"5.01","Maintenance","60.58","Yes","65.33",22,11,24,2273,"E003","Error condition E003","2024-01-26","2024-07-22"
"LOG00000453","2024-04-24","07:12:57",2024,12,"MACH00054","Machine 54","MODEL-6653","Drill","Mitsubishi","FAC06","Factory 6","LINE004","Assembly Line 4","39.3","36.4","8.71","31.9",2724,"9.31","Error","66.53","Yes","99.74",17,0,18,5628,"E004","Error condition E004","2024-11-09","2024-01-24"
"LOG00000454","2024-10-05","09:11:47",2024,12,"MACH00055","Machine 55","MODEL-7204","Lathe","Yaskawa","FAC07","Factory 7","LINE005","Assembly Line 5","42","77.5","3.27","26.15",9813,"13.86","Stopped","85.63","No","62.95",5,18,13,4797,"E005","Error condition E005","2024-04-10","2024-05-04"
"LOG00000455","2024-03-21","03:57:48",2024,12,"MACH00056","Machine 56","MODEL-9277","Compressor","Omron","FAC08","Factory 8","LINE006","Assembly Line 6","23","62.7","5.89","14.92",8597,"46.2","Running","83.18","No","77.43",17,16,0,7143,"None","No errors","2024-04-04","2024-04-12"
"LOG00000456","2024-03-28","15:12:34",2024,12,"MACH00057","Machine 57","MODEL-6700","CNC Machine","Siemens","FAC01","Factory 1","LINE007","Assembly Line 7","54.5","70.6","9.84","32.04",8788,"25.46","Idle","62.22","Yes","62.81",16,17,22,4354,"E001","Error condition E001","2024-03-27","2024-06-19"
"LOG00000457","2024-11-25","00:50:59",2024,7,"MACH00058","Machine 58","MODEL-7769","Hydraulic Press","ABB","FAC02","Factory 2","LINE008","Assembly Line 8","51.4","37.5","0.95","39.09",7773,"38.81","Maintenance","67.25","Yes","76.8",4,4,1,601,"E002","Error condition E002","2024-03-19","2024-09-16"
"LOG00000458","2024-11-22","01:59:16",2024,10,"MACH00059","Machine 59","MODEL-2550","Conveyor","Fanuc","FAC03","Factory 3","LINE009","Assembly Line 9","21.2","79.4","3.92","26.99",3285,"21.31","Error","58.14","Yes","86.02",9,7,20,5587,"E003","Error condition E003","2024-09-10","2024-12-28"
"LOG00000459","2024-12-13","07:09:01",2024,3,"MACH00060","Machine 60","MODEL-2142","Robot Arm","KUKA","FAC04","Factory 4","LINE010","Assembly Line 10","68.5","73.3","9.57","15.65",9676,"30.49","Stopped","90.07","No","83.4",17,20,6,4951,"E004","Error condition E004","2024-03-20","2024-07-02"
"LOG00000460","2024-12-25","09:06:10",2024,7,"MACH00061","Machine 61","MODEL-2017","Welder","Bosch","FAC05","Factory 5","LINE011","Assembly Line 11","79.8","47.8","5.64","13.52",4041,"37.55","Running","93.24","No","86.95",11,11,20,2151,"E005","Error condition E005","2024-10-10","2024-02-02"
"LOG00000461","2024-06-02","12:07:26",2024,6,"MACH00062","Machine 62","MODEL-1278","Drill","Mitsubishi","FAC06","Factory 6","LINE012","Assembly Line 12","38.2","78.1","9.59","48.23",7456,"2.08","Idle","94.47","No","79.45",13,2,2,9712,"None","No errors","2024-07-27","2024-06-13"
"LOG00000462","2024-04-13","18:22:12",2024,7,"MACH00063","Machine 63","MODEL-9912","Lathe","Yaskawa","FAC07","Factory 7","LINE013","Assembly Line 13","69.9","34.3","2.17","30.48",8616,"5.25","Maintenance","72.6","No","96.2",12,0,19,5015,"E001","Error condition E001","2024-11-07","2024-06-04"
"LOG00000463","2024-04-26","13:10:58",2024,1,"MACH00064","Machine 64","MODEL-5254","Compressor","Omron","FAC08","Factory 8","LINE014","Assembly Line 14","70.5","49.4","0.94","43.99",5986,"49.14","Error","85.86","No","97.81",10,1,2,2249,"E002","Error condition E002","2024-11-06","2024-10-26"
"LOG00000464","2024-09-04","18:15:32",2024,1,"MACH00065","Machine 65","MODEL-7140","CNC Machine","Siemens","FAC01","Factory 1","LINE015","Assembly Line 15","38.7","35.8","1.83","6.98",5376,"48.92","Stopped","98.47","No","72.85",15,9,17,989,"E003","Error condition E003","2024-06-04","2024-03-11"
"LOG00000465","2024-10-27","15:21:33",2024,11,"MACH00066","Machine 66","MODEL-9320","Hydraulic Press","ABB","FAC02","Factory 2","LINE016","Assembly Line 16","78.8","65.1","7.72","10.94",8700,"28.93","Running","76.83","No","60.26",13,6,6,6575,"E004","Error condition E004","2024-03-09","2024-03-18"
"LOG00000466","2024-09-10","20:12:21",2024,1,"MACH00067","Machine 67","MODEL-2818","Conveyor","Fanuc","FAC03","Factory 3","LINE017","Assembly Line 17","73.6","60.2","1.45","7.22",4965,"22.92","Idle","55.36","Yes","93.8",9,24,3,9681,"E005","Error condition E005","2024-01-06","2024-09-22"
"LOG00000467","2024-02-10","20:02:33",2024,3,"MACH00068","Machine 68","MODEL-2737","Robot Arm","KUKA","FAC04","Factory 4","LINE018","Assembly Line 18","23.7","69.1","7.2","42.7",2931,"2.63","Maintenance","78.49","No","95.69",1,6,17,6429,"None","No errors","2024-12-27","2024-07-19"
"LOG00000468","2024-06-07","09:17:31",2024,6,"MACH00069","Machine 69","MODEL-7121","Welder","Bosch","FAC05","Factory 5","LINE019","Assembly Line 19","35.7","65.8","1.55","26.97",6149,"27.67","Error","57.38","Yes","62.42",7,18,3,9791,"E001","Error condition E001","2024-04-11","2024-03-22"
"LOG00000469","2024-09-28","13:47:07",2024,3,"MACH00070","Machine 70","MODEL-4213","Drill","Mitsubishi","FAC06","Factory 6","LINE020","Assembly Line 20","60.3","31.2","2.27","22.55",1774,"10.6","Stopped","63.39","Yes","72.48",6,17,13,4532,"E002","Error condition E002","2024-05-13","2024-07-24"
"LOG00000470","2024-03-28","09:56:28",2024,12,"MACH00071","Machine 71","MODEL-4325","Lathe","Yaskawa","FAC07","Factory 7","LINE021","Assembly Line 21","45.1","63.2","8.93","44.82",935,"33.82","Running","89","No","80.57",24,16,10,8373,"E003","Error condition E003","2024-11-21","2024-07-07"
"LOG00000471","2024-05-23","09:38:49",2024,12,"MACH00072","Machine 72","MODEL-7335","Compressor","Omron","FAC08","Factory 8","LINE022","Assembly Line 22","63.6","72.3","8.3","13.81",6955,"16.94","Idle","93.33","No","63.68",17,16,13,2253,"E004","Error condition E004","2024-02-12","2024-03-03"
"LOG00000472","2024-11-08","10:09:24",2024,10,"MACH00073","Machine 73","MODEL-9480","CNC Machine","Siemens","FAC01","Factory 1","LINE023","Assembly Line 23","63.7","48.8","0.78","45.64",833,"36.5","Maintenance","86.86","No","66.68",9,0,23,6220,"E005","Error condition E005","2024-08-16","2024-07-10"
"LOG00000473","2024-03-13","22:44:08",2024,9,"MACH00074","Machine 74","MODEL-7332","Hydraulic Press","ABB","FAC02","Factory 2","LINE024","Assembly Line 24","51.6","47.3","5.74","41.41",2392,"9.73","Error","55.82","Yes","94.86",3,7,20,2320,"None","No errors","2024-05-18","2024-03-05"
"LOG00000474","2024-02-08","03:25:17",2024,9,"MACH00075","Machine 75","MODEL-2949","Conveyor","Fanuc","FAC03","Factory 3","LINE025","Assembly Line 25","66.3","35","2.57","30.42",9374,"25.76","Stopped","64.62","Yes","66.75",24,19,23,513,"E001","Error condition E001","2024-11-16","2024-04-07"
"LOG00000475","2024-09-16","17:13:19",2024,8,"MACH00076","Machine 76","MODEL-8690","Robot Arm","KUKA","FAC04","Factory 4","LINE026","Assembly Line 26","46.2","32.6","1.23","26.03",2435,"16.23","Running","61.76","Yes","87.15",17,14,7,1428,"E002","Error condition E002","2024-06-19","2024-10-22"
"LOG00000476","2024-12-21","07:31:40",2024,2,"MACH00077","Machine 77","MODEL-5084","Welder","Bosch","FAC05","Factory 5","LINE027","Assembly Line 27","78.3","66.2","3.85","47.06",8312,"13.77","Idle","71.55","No","99.16",10,13,22,5972,"E003","Error condition E003","2024-01-14","2024-06-28"
"LOG00000477","2024-12-28","19:19:55",2024,10,"MACH00078","Machine 78","MODEL-7115","Drill","Mitsubishi","FAC06","Factory 6","LINE028","Assembly Line 28","49.2","31.7","2.62","32.69",5567,"12.03","Maintenance","84.6","No","63.97",18,17,7,7726,"E004","Error condition E004","2024-12-18","2024-04-01"
"LOG00000478","2024-01-25","18:47:32",2024,12,"MACH00079","Machine 79","MODEL-4415","Lathe","Yaskawa","FAC07","Factory 7","LINE029","Assembly Line 29","31.4","43","4.96","9.84",9828,"2.06","Error","89.82","No","73.77",17,2,4,629,"E005","Error condition E005","2024-05-21","2024-01-21"
"LOG00000479","2024-07-21","19:07:55",2024,10,"MACH00080","Machine 80","MODEL-6576","Compressor","Omron","FAC08","Factory 8","LINE030","Assembly Line 30","79","54.2","5.76","4.73",7605,"13.61","Stopped","90.87","No","72.07",24,18,22,4144,"None","No errors","2024-06-07","2024-12-27"
